Olfr1018	85823906	85823908	+
Olfr1018	85823906	85823908	+
Olfr1019	85840857	85840859	-
Olfr1019	85840857	85840859	-
Olfr1020	85850405	85850407	+
Olfr1020	85850405	85850407	+
Olfr1022	85869539	85869541	+
Olfr1023	85887735	85887737	+
Olfr1023	85887735	85887737	+
Olfr1024	85904069	85904071	-
Olfr1025-ps1	85918863	85918865	+
Olfr1026	85924191	85924193	+
Olfr1026	85924191	85924193	+
Olfr1026	85924191	85924193	+
Olfr1028	85952037	85952039	+
Olfr1029	85976217	85976219	+
Olfr1029	85976217	85976219	+
Olfr1030	85984796	85984798	+
Olfr1031	85992827	85992829	+
Olfr1031	85992827	85992829	+
Olfr1032	86008708	86008710	+
Olfr1032	86008708	86008710	+
Olfr1032	86008708	86008710	+
Olfr1033	86042247	86042249	+
Olfr1033	86042247	86042249	+
Olfr1033	86042247	86042249	+
Olfr1033	86042247	86042249	+
Olfr1034	86047414	86047416	+
Olfr1036	86075672	86075674	+
Olfr1037	86084810	86084812	-
Olfr1037	86084810	86084812	-
Olfr1037	86084810	86084812	-
Olfr1037	86084810	86084812	-
Olfr1038-ps	86122880	86122882	+
Olfr1039	86130702	86130704	-
Olfr1039	86130702	86130704	-
Olfr1039	86130702	86130704	-
Olfr1040	86145791	86145793	-
Olfr1042	86159427	86159429	-
Olfr1042	86159427	86159429	-
Olfr1043	86162003	86162005	-
Olfr1043	86162003	86162005	-
Olfr1043	86162003	86162005	-
Olfr1043	86162003	86162005	-
Olfr1044	86170871	86170873	-
Olfr1044	86170871	86170873	-
Olfr52	86181150	86181152	-
Olfr52	86181150	86181152	-
Olfr1045	86197803	86197805	-
Olfr1045	86197803	86197805	-
Olfr1046	86216758	86216760	-
Olfr1046	86216758	86216760	-
Olfr1047	86228010	86228012	-
Olfr1047	86228010	86228012	-
Olfr1048	86235871	86235873	-
Olfr1048	86235871	86235873	-
Olfr1049	86254765	86254767	-
Olfr1049	86254765	86254767	-
Olfr1051	86275559	86275561	-
Olfr1051	86275559	86275561	-
Olfr1051	86275559	86275561	-
Olfr1051	86275559	86275561	-
Olfr1052	86298754	86298756	+
Olfr1052	86298754	86298756	+
Olfr1052	86298754	86298756	+
Olfr1053	86314343	86314345	-
Olfr1054	86332416	86332418	-
Olfr1054	86332416	86332418	-
Olfr1055	86346724	86346726	-
Olfr1055	86346724	86346726	-
Olfr1056	86355439	86355441	-
Olfr1056	86355439	86355441	-
Olfr1057	86374463	86374465	-
Olfr1057	86374463	86374465	-
Olfr1058	86385466	86385468	-
Olfr1058	86385466	86385468	-
Olfr1061	86413109	86413111	-
Olfr1062	86422727	86422729	-
Olfr1062	86422727	86422729	-
Olfr1065	86445039	86445041	-
Olfr1065	86445039	86445041	-
Olfr1065	86445039	86445041	-
Olfr1065	86445039	86445041	-
Olfr1066	86455328	86455330	-
Olfr228	86482799	86482801	-
Olfr228	86482799	86482801	-
Olfr1076	86509400	86509402	+
OlfrAL772265.6	86525234	86525236	-
Olfr1079	86537966	86537968	-
Olfr1079	86537966	86537968	-
Olfr1079	86537966	86537968	-
Olfr1080	86553181	86553183	-
Olfr1082	86593885	86593887	-
Olfr1084	86638765	86638767	-
Olfr1085	86657515	86657517	-
Olfr1085	86657515	86657517	-
Olfr1085	86657515	86657517	-
Olfr1086	86676399	86676401	-
Olfr1086	86676399	86676401	-
Olfr1087	86690032	86690034	-
Olfr1087	86690032	86690034	-
Olfr1089	86732675	86732677	-
Olfr1090	86753795	86753797	-
Olfr1090	86753795	86753797	-
Olfr1090	86753795	86753797	-
Olfr1093	86786698	86786700	+
Olfr1093	86786698	86786700	+
Olfr1093	86786698	86786700	+
Olfr141	86806050	86806052	-
Olfr1094	86829744	86829746	+
Olfr1094	86829744	86829746	+
Olfr1095	86850770	86850772	-
OlfrGm13723	86872774	86872776	-
Olfr1097	86890226	86890228	-
Olfr1097	86890226	86890228	-
Olfr1098	86922583	86922585	-
Olfr1098	86922583	86922585	-
Olfr1099	86958518	86958520	-
Olfr1099	86958518	86958520	-
Olfr1100	86977829	86977831	-
Olfr1100	86977829	86977831	-
Olfr1101	86988242	86988244	-
Olfr1101	86988242	86988244	-
Olfr1102	87002943	87002945	+
Olfr1102	87002943	87002945	+
Olfr1104	87021610	87021612	-
Olfr1104	87021610	87021612	-
Olfr1104	87021610	87021612	-
Olfr1105	87033281	87033283	-
Olfr1105	87033281	87033283	-
Olfr1106	87048296	87048298	-
Olfr1106	87048296	87048298	-
Olfr1106	87048296	87048298	-
Olfr1107	87071194	87071196	-
Olfr1107	87071194	87071196	-
Olfr1109	87092457	87092459	-
Olfr1109	87092457	87092459	-
Olfr1109	87092457	87092459	-
Olfr259	87107447	87107449	-
Olfr259	87107447	87107449	-
Olfr259	87107447	87107449	-
Olfr259	87107447	87107449	-
Olfr1110	87135381	87135383	-
Olfr1110	87135381	87135383	-
Olfr1111	87149721	87149723	-
Olfr1111	87149721	87149723	-
Olfr1111	87149721	87149723	-
Olfr1112	87192643	87192645	+
Olfr1112	87192643	87192645	+
Olfr1113	87213872	87213874	+
Olfr1113	87213872	87213874	+
Olfr1115	87252917	87252919	+
Olfr1115	87252917	87252919	+
Olfr1115	87252917	87252919	+
Olfr1115	87252917	87252919	+
Olfr1116	87269767	87269769	+
Olfr1116	87269767	87269769	+
Olfr1118	87285273	87285275	+
Olfr1117-ps1	87309712	87309714	+
Olfr1117-ps1	87309712	87309714	+
Olfr1150-ps1	87358388	87358390	+
Olfr1150-ps1	87358388	87358390	+
Olfr1121	87372476	87372478	+
Olfr1121	87372476	87372478	+
Olfr1122	87388685	87388687	+
Olfr1122	87388685	87388687	+
Olfr1123	87419019	87419021	+
Olfr1124	87435443	87435445	+
Olfr1124	87435443	87435445	+
Olfr1126	87458109	87458111	+
Olfr1126	87458109	87458111	+
Olfr153	87532956	87532958	+
Olfr1128	87544607	87544609	-
Olfr1129	87576028	87576030	+
Olfr1129	87576028	87576030	+
Olfr1129	87576028	87576030	+
Olfr1130	87608332	87608334	+
Olfr1130	87608332	87608334	+
Olfr1131	87629392	87629394	+
Olfr1131	87629392	87629394	+
Olfr1131	87629392	87629394	+
Olfr1132	87634819	87634821	-
Olfr1132	87634819	87634821	-
Olfr1133	87645180	87645182	-
Olfr1133	87645180	87645182	-
Olfr1134	87655981	87655983	-
Olfr1134	87655981	87655983	-
Olfr1134	87655981	87655983	-
Olfr1135	87671433	87671435	-
Olfr1135	87671433	87671435	-
Olfr1136	87692948	87692950	-
Olfr1137	87710972	87710974	-
Olfr1137	87710972	87710974	-
Olfr1138	87737387	87737389	-
Olfr1138	87737387	87737389	-
Olfr1140	87747131	87747133	+
Olfr1140	87747131	87747133	+
Olfr1141	87753056	87753058	-
Olfr152	87783484	87783486	+
Olfr152	87783484	87783486	+
Olfr152	87783484	87783486	+
Olfr1143	87803333	87803335	+
Olfr1143	87803333	87803335	+
Olfr1143	87803333	87803335	+
Olfr1145	87810797	87810799	+
Olfr1145	87810797	87810799	+
Olfr1148	87833983	87833985	+
Olfr1148	87833983	87833985	+
Olfr1120	87847221	87847223	+
Olfr1151	87858101	87858103	+
Olfr1151	87858101	87858103	+
Olfr1152	87868923	87868925	+
Olfr1152	87868923	87868925	+
Olfr1153	87897131	87897133	+
Olfr1153	87897131	87897133	+
Olfr1154	87902742	87902744	-
Olfr1154	87902742	87902744	-
Olfr1154	87902742	87902744	-
Olfr1155	87942682	87942684	-
Olfr1155	87942682	87942684	-
